Parameter,Median,lowerCL,upperCL
current fecundity,0.0837423168629871,0.0541330161483901,0.12309638237002
mouse-free fecundity,0.520912402501379,0.459355371803373,0.583638541211186
first year survival,0.7454389643815,0.680079486220989,0.809959467628891
adult survival,0.915804844701906,0.875309249088579,0.949337506277725
population growth rate (no eradication),0.943970783575358,0.901542014588386,0.980724970764895
population growth rate (with eradication),1.04633237804411,0.997010035033054,1.0899480439182
